Store,MAPE_%
30,2.3468434292120133
37,2.61217110964899
44,3.330225472722157
4,3.676111657754412
34,3.7454013953759677
43,3.9070769640969654
13,4.207866684872639
31,4.233731936864894
32,4.389782253571532
8,4.667287324392229
2,4.934321093703724
10,5.217260251519653
38,5.367006397388862
27,5.44367629288538
3,5.462186970402639
20,5.462605648162706
41,5.463835320057052
17,5.714332314287271
33,5.775249005811696
25,5.850800745688291
39,5.8951782494493585
9,5.908925645166964
1,6.0428513522530185
22,6.049897895521107
45,6.062725909792171
18,6.225795963858244
12,6.327047021071357
26,6.343498201896306
19,6.444345544087523
6,6.478508105411325
5,6.622922298348331
24,6.79385069044422
42,6.832940958115763
11,6.900183129814453
21,6.968639415815429
29,7.315822516510762
16,7.44210186639155
40,7.496116973072346
23,7.533099599371155
15,8.316930723444885
7,8.373268107885194
14,9.49979149025435
35,9.56736721151556
28,9.607841866612839
36,9.792851432515116
